epoch,train_loss,generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
1,0.32544942868527565,2026-06-10T09:12:00.617430+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9265554342741307,0.9234080682830192,0.9325030132583367,0.8845274390243902,0.9078818697437904,3789,2624,0.9658484183193969,0.9626035317247498,0.05762440537296648,3621,168,303,2321
2,0.18503103044622424,2026-06-10T09:12:08.458553+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9331046312178388,0.9305151737293031,0.9302234417875344,0.9043445121951219,0.9171014492753623,3789,2624,0.972317722917431,0.9689868692708665,0.05216816593015706,3611,178,251,2373
3,0.14518575704029177,2026-06-10T09:12:15.824407+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9363792296896928,0.9341380237359505,0.9251726784343822,0.9188262195121951,0.9219885277246654,3789,2624,0.9739341438470799,0.969906855385558,0.05148482326699272,3594,195,213,2411
4,0.11968949500733915,2026-06-10T09:12:23.409767+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9343520973023546,0.9319618721596683,0.9257827599536143,0.9127286585365854,0.9192093648052198,3789,2624,0.9723225507566833,0.9680689771129463,0.05412970867184618,3597,192,229,2395
5,0.10022832394538626,2026-06-10T09:12:30.844914+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9370029627319507,0.9342466740773452,0.9483037156704361,0.8948170731707317,0.9207843137254902,3789,2624,0.9723206900269716,0.9693845135983727,0.053612529678157814,3661,128,276,2348
6,0.08423172234238953,2026-06-10T09:12:38.544196+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9288944331825979,0.9252121394396757,0.9581572273879966,0.8639481707317073,0.9086172344689378,3789,2624,0.9682196417421418,0.9664869714292368,0.05996037969362845,3690,99,357,2267
7,0.07111067460561736,2026-06-10T09:12:46.583023+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9370029627319507,0.9341134381678675,0.9538021259198691,0.8891006097560976,0.9203155818540434,3789,2624,0.9661493033427959,0.9651682888305134,0.055865651821299885,3676,113,291,2333
8,0.06020894211929869,2026-06-10T09:13:04.397814+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9281147668797755,0.9255244456559808,0.9170844581565754,0.90625,0.9116350392946138,3789,2624,0.9648420652852608,0.9598477606126649,0.06299791164556794,3574,215,246,2378
9,0.05106891654460454,2026-06-10T09:13:12.210523+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9285825666614689,0.9251517273576098,0.9482615894039735,0.8730945121951219,0.9091269841269841,3789,2624,0.9654190423658987,0.9634181795622226,0.0623767966662098,3664,125,333,2291
10,0.04167752969577481,2026-06-10T09:13:20.199775+00:00,123,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9343520973023546,0.9318786469504106,0.9291001168679393,0.9089176829268293,0.9188980928530148,3789,2624,0.9640604582263163,0.9561456576323584,0.058454084347116415,3607,182,239,2385
