row_id,basic_char_len_log,basic_word_count_log,basic_rating_deviation,basic_sentiment_compound,basic_verified_purchase,adv_review_velocity_30d,adv_product_burst_7d,adv_reviewer_behavior_score,adv_time_gap_hours_log
0,4.691348,2.9957323,1.0645658,0.4404,1.0,0.0,0.0,-0.078961775,8.157623
1,6.3332796,4.7791233,1.0645658,0.9918,1.0,0.0,0.0,0.5864665,8.157623
2,5.8435445,4.3307333,1.0645658,0.9252,1.0,0.0,0.0,0.43849373,8.157623
3,3.637586,1.7917595,2.9354343,0.0,1.0,0.0,0.0,0.032443393,8.157623
4,4.7004805,2.9957323,1.0645658,0.0258,1.0,0.0,0.0,-0.29079705,8.157623
5,6.4707994,4.828314,0.9354343,0.229,1.0,0.0,0.0,0.18447728,8.157623
6,5.4764633,3.871201,1.0645658,0.6038,1.0,0.0,0.0,0.18748392,8.157623
7,5.4553213,3.871201,0.9354343,0.3629,1.0,0.0,0.0,0.018015582,8.157623
8,4.406719,2.6390574,1.9354342,-0.2585,0.0,0.0,0.0,-0.2342203,8.157623
9,4.4426513,2.8332133,1.9354342,0.3612,1.0,0.0,0.0,1.8044411,6.7942133
10,6.6333184,4.89784,0.06456572,0.7902,1.0,0.0,0.0,0.24035011,8.157623
11,5.0172796,3.4011974,1.0645658,-0.126,0.0,0.0,0.0,-0.29564524,8.157623
12,4.744932,3.0910425,0.9354343,0.2732,1.0,0.0,0.0,-0.19306298,8.157623
13,5.3844953,3.8066626,1.9354342,0.8271,1.0,0.0,0.0,0.5528168,8.157623
14,3.637586,2.3025851,1.0645658,0.6696,1.0,0.0,0.0,-0.20512463,8.157623
15,4.4308167,2.944439,1.0645658,0.937,1.0,0.0,0.0,0.11687255,8.157623
16,5.288267,3.583519,1.0645658,0.8929,0.0,0.0,0.0,0.2930176,8.157623
17,3.0910425,1.7917595,1.9354342,0.4201,1.0,0.0,0.0,-0.18922737,8.157623
18,3.1354942,1.3862944,1.0645658,0.6696,1.0,0.0,0.0,-0.32159495,8.157623
19,4.919981,3.2580965,0.9354343,0.0,1.0,0.0,0.0,-0.29344136,8.157623
20,4.2195077,2.4849067,2.9354343,-0.7825,1.0,0.0,0.0,-0.23637626,8.157623
21,5.918894,4.2195077,1.0645658,0.9349,0.0,0.0,0.0,0.4609782,8.157623
22,1.3862944,1.0986123,1.0645658,0.0,1.0,0.0,0.0,-1.0729032,8.157623
23,4.276666,2.7080503,1.0645658,0.8225,1.0,0.0,0.0,0.022026634,8.157623
24,4.7095304,2.8903718,1.0645658,0.7574,1.0,0.0,0.0,0.08884339,8.157623
25,5.529429,3.8286414,1.0645658,0.9161,1.0,0.0,0.0,0.36093232,8.157623
26,3.6109178,2.1972246,1.0645658,0.7906,0.0,0.0,0.0,-0.148869,8.157623
27,3.6888795,2.0794415,1.0645658,0.6893,1.0,0.0,0.0,-0.18305996,8.157623
28,3.3322046,1.7917595,1.0645658,0.34,0.0,0.0,0.0,-0.44605365,8.157623
29,3.8066626,2.3025851,1.0645658,0.7964,1.0,0.0,0.0,-0.10046902,8.157623
30,2.7080503,1.0986123,1.0645658,0.6249,1.0,0.0,0.0,-0.44381654,8.157623
31,5.3423343,3.713572,2.9354343,0.6249,1.0,0.0,0.0,0.75037277,8.157623
32,3.6635616,1.9459101,1.0645658,0.8309,1.0,0.0,0.0,-0.115860455,8.157623
33,5.327876,3.713572,0.06456572,0.8519,1.0,0.0,0.0,-0.030633243,8.157623
34,4.454347,2.8903718,1.0645658,0.8455,1.0,0.0,0.0,0.07511247,8.157623
35,6.364751,4.634729,1.0645658,0.9001,1.0,0.0,0.0,0.5464452,8.157623
36,6.4118185,4.744932,1.0645658,0.9783,0.0,0.0,0.0,0.5977184,8.157623
37,4.394449,2.8903718,1.0645658,0.7947,1.0,0.0,0.0,0.035002623,8.157623
38,2.8903718,1.0986123,1.0645658,0.6083,0.0,0.0,0.0,-0.41008982,8.157623
