asin,review_count,fake_count,real_count,fake_rate
B00EEN2HCS,121,44,77,0.36363636363636365
B007IAE5WY,96,34,62,0.3541666666666667
B07C533XCW,93,29,64,0.3118279569892473
B00R1TAN7I,91,38,53,0.4175824175824176
B08L5KN7X4,80,32,48,0.4
B019GBG0IE,79,17,62,0.21518987341772153
B0719KWG8H,69,28,41,0.4057971014492754
B0092MCQZ4,68,26,42,0.38235294117647056
B0107QYW14,57,29,28,0.5087719298245614
B07TK2PSJF,51,21,30,0.4117647058823529
B012Q9NGE4,50,32,18,0.64
B07ZJKVVLW,50,17,33,0.34
B074PPN885,49,20,29,0.40816326530612246
B000FEF1V4,48,20,28,0.4166666666666667
B0070Z7KME,47,21,26,0.44680851063829785
B074KD4PX2,47,18,29,0.3829787234042553
B07FSCR54M,46,10,36,0.21739130434782608
B005BZQHEC,45,14,31,0.3111111111111111
B01I2MU2JQ,44,26,18,0.5909090909090909
B005IYYF5E,39,16,23,0.41025641025641024
B01MDTVZTZ,38,19,19,0.5
B08B1PR9C7,37,10,27,0.2702702702702703
B06Y44MMT6,37,9,28,0.24324324324324326
B01195J43I,37,8,29,0.21621621621621623
B000FEIOHW,36,14,22,0.3888888888888889
B07K7VD98J,35,13,22,0.37142857142857144
B004H5D40W,34,19,15,0.5588235294117647
B00Q970V5W,33,15,18,0.45454545454545453
B01GS7QKQQ,33,14,19,0.42424242424242425
B08RNQNFW1,33,13,20,0.3939393939393939
B00DT4757A,33,12,21,0.36363636363636365
B015IHU77U,32,14,18,0.4375
B01DUYNJL4,32,9,23,0.28125
B000GBMYC0,31,17,14,0.5483870967741935
B000X20Y4C,31,7,24,0.22580645161290322
B01BJCLNIA,30,13,17,0.43333333333333335
B082RD77G5,30,11,19,0.36666666666666664
B08DKG8TJJ,30,9,21,0.3
B01I066QWG,29,9,20,0.3103448275862069
B00KCTER3U,28,16,12,0.5714285714285714
B07G19ZXWB,28,14,14,0.5
B00CQ16CT4,28,12,16,0.42857142857142855
B00MZT4UEG,28,11,17,0.39285714285714285
B0067BAIM6,28,10,18,0.35714285714285715
B07VKZYXYJ,27,19,8,0.7037037037037037
B00H1M8R3C,27,13,14,0.48148148148148145
B00H37H8TE,27,10,17,0.37037037037037035
B00BN9PFUW,27,8,19,0.2962962962962963
B01IMEH6GG,27,5,22,0.18518518518518517
B01F7WA2X0,26,16,10,0.6153846153846154
B003ILUQPM,26,15,11,0.5769230769230769
B00JNI1DZQ,26,14,12,0.5384615384615384
B014I0FDVI,26,11,15,0.4230769230769231
B07H6YGKVJ,26,10,16,0.38461538461538464
B00A967Q3O,26,8,18,0.3076923076923077
B08R5DJGZQ,26,7,19,0.2692307692307692
B07TLMZL3T,26,5,21,0.19230769230769232
B002A5OLHQ,25,10,15,0.4
B000GBICYE,25,9,16,0.36
B07XY659KF,25,8,17,0.32
B00A0RUGPM,25,7,18,0.28
B0171UQIUW,25,7,18,0.28
B000A23CQM,24,19,5,0.7916666666666666
B06VWPZN56,24,10,14,0.4166666666666667
B06XP1R15N,24,10,14,0.4166666666666667
B01CTQC9J2,24,9,15,0.375
B07DMD8M5T,24,9,15,0.375
B09XBSDCXP,24,9,15,0.375
B01J5ONDPK,24,8,16,0.3333333333333333
B07HD2L4YK,24,8,16,0.3333333333333333
B07B6WZZ65,24,7,17,0.2916666666666667
B08CKCV9HD,24,6,18,0.25
B01NB1ZBA1,23,12,11,0.5217391304347826
B071P6V9JQ,23,11,12,0.4782608695652174
B00FE90M0K,23,9,14,0.391304347826087
B078YCFZDB,23,9,14,0.391304347826087
B07H281V4V,23,8,15,0.34782608695652173
B00RPJZMUM,23,7,16,0.30434782608695654
B07KDNK11M,23,6,17,0.2608695652173913
B08ZBCGXSS,23,6,17,0.2608695652173913
B00VXEQ0WO,22,19,3,0.8636363636363636
B0009MFUOA,22,14,8,0.6363636363636364
B01N5CJPSX,22,8,14,0.36363636363636365
B0052YFCSO,22,7,15,0.3181818181818182
B075ZH5Z9F,22,6,16,0.2727272727272727
B083H7G738,22,4,18,0.18181818181818182
B072XT9V99,22,3,19,0.13636363636363635
B01AYTGWA8,21,15,6,0.7142857142857143
B011JG1K3E,21,14,7,0.6666666666666666
B00DPNKDR4,21,10,11,0.47619047619047616
B000XRR7N8,21,9,12,0.42857142857142855
B01FK1IUIM,21,9,12,0.42857142857142855
B01MR513G3,21,9,12,0.42857142857142855
B014AP7TZE,21,7,14,0.3333333333333333
B06XKWVGQZ,21,7,14,0.3333333333333333
B0753JSKQZ,21,7,14,0.3333333333333333
B07S9DLZGT,21,7,14,0.3333333333333333
B06WWL6NLH,21,6,15,0.2857142857142857
B00N996X4G,20,17,3,0.85
B00K5RZIKA,20,14,6,0.7
B001JKN0HK,20,10,10,0.5
B001E76F6G,20,8,12,0.4
B008A12F36,20,8,12,0.4
B079NV9PBG,20,8,12,0.4
B012XYSK1G,20,6,14,0.3
B0944BGWPN,20,6,14,0.3
B00C0YZBJE,20,5,15,0.25
B01J4KYUJI,20,5,15,0.25
B06XH3Y6VZ,19,14,5,0.7368421052631579
B07FSJZLH9,19,12,7,0.631578947368421
B07S5GYK14,19,12,7,0.631578947368421
B00YI0XFUU,19,9,10,0.47368421052631576
B019FT4Q06,19,9,10,0.47368421052631576
B01KIMMY6C,19,9,10,0.47368421052631576
B07MD79GK8,19,9,10,0.47368421052631576
B088RGM31Z,19,9,10,0.47368421052631576
B001LY7FRK,19,8,11,0.42105263157894735
B00WQEJV6M,19,8,11,0.42105263157894735
B07R4H7FPL,19,8,11,0.42105263157894735
B09R9336BK,19,8,11,0.42105263157894735
B06Y16ZN4D,19,7,12,0.3684210526315789
B00692OA2M,19,6,13,0.3157894736842105
B0BFWBKRSG,19,6,13,0.3157894736842105
B00U2VQZC4,19,5,14,0.2631578947368421
B01E3MF6KE,19,5,14,0.2631578947368421
B09M2CF3Q8,19,5,14,0.2631578947368421
B07X8Z9W22,19,4,15,0.21052631578947367
B001ET7HJI,19,3,16,0.15789473684210525
B007N47C66,18,10,8,0.5555555555555556
B00FQD0LNW,18,10,8,0.5555555555555556
B08QMJLMCQ,18,9,9,0.5
B00011QUDE,18,8,10,0.4444444444444444
B01G45HX18,18,8,10,0.4444444444444444
B01JD1DJZE,18,8,10,0.4444444444444444
B07WDJB6BH,18,7,11,0.3888888888888889
B000X1YING,18,5,13,0.2777777777777778
B01DD1NOZU,18,5,13,0.2777777777777778
B08HWH55LX,18,5,13,0.2777777777777778
B0941YDPSW,18,3,15,0.16666666666666666
B00JJV2XL0,17,13,4,0.7647058823529411
B01557EHW4,17,12,5,0.7058823529411765
B08WJPNZPQ,17,10,7,0.5882352941176471
B07B3QV54Q,17,9,8,0.5294117647058824
B00011JN5G,17,8,9,0.47058823529411764
B000MT1GHA,17,6,11,0.35294117647058826
B00I4ZTCH0,17,6,11,0.35294117647058826
B074TG7CVH,17,6,11,0.35294117647058826
B09F3LF24J,17,6,11,0.35294117647058826
B078J32XBK,17,5,12,0.29411764705882354
B0759NDR71,17,4,13,0.23529411764705882
B00WUPUYCC,17,3,14,0.17647058823529413
B0145XI8RO,17,3,14,0.17647058823529413
B01LAV3O6E,17,2,15,0.11764705882352941
B01HIIT4TE,16,10,6,0.625
B078JFH7QV,16,10,6,0.625
B000NHZSKC,16,9,7,0.5625
B00ZUD4B5C,16,9,7,0.5625
B0793RGV6C,16,9,7,0.5625
B00XBRCWSM,16,7,9,0.4375
B079CW539Y,16,7,9,0.4375
B07K1DRCYR,16,6,10,0.375
B08BZNW9NK,16,6,10,0.375
B00NQ2CCOQ,16,5,11,0.3125
B00W84M8H4,16,5,11,0.3125
B06Y5XQ6SJ,16,5,11,0.3125
B083DJCNRC,16,5,11,0.3125
B088838886,16,5,11,0.3125
B0778MBLQ7,16,3,13,0.1875
B084C5TMT3,16,3,13,0.1875
B00L4HJX7O,15,12,3,0.8
B00VX17F1W,15,10,5,0.6666666666666666
B00NT0AR7E,15,9,6,0.6
B085ZXRQ1D,15,7,8,0.4666666666666667
B099BLC99J,15,7,8,0.4666666666666667
B01DN6K390,15,6,9,0.4
B00AX3YNPC,15,5,10,0.3333333333333333
B00JZRTZVY,15,5,10,0.3333333333333333
B01LBXF4QO,15,5,10,0.3333333333333333
B0722HKRHH,15,5,10,0.3333333333333333
B07DSDBTST,15,5,10,0.3333333333333333
B0759PB3RF,15,3,12,0.2
B071XX8T2N,15,2,13,0.13333333333333333
B013HR1A92,14,11,3,0.7857142857142857
B000FEGUIM,14,10,4,0.7142857142857143
B001ET79AK,14,8,6,0.5714285714285714
B001MP0QH4,14,7,7,0.5
B00RNFREKO,14,7,7,0.5
B019GM3N5Q,14,7,7,0.5
B07VMRQHV5,14,7,7,0.5
B000G8LWZI,14,6,8,0.42857142857142855
B01N47XMWS,14,6,8,0.42857142857142855
B07577WHPQ,14,6,8,0.42857142857142855
B0811S3MZ2,14,5,9,0.35714285714285715
B08B4RN9WN,14,5,9,0.35714285714285715
B08BRBS9QH,14,5,9,0.35714285714285715
B08DK2XWB2,14,5,9,0.35714285714285715
B0006B0W42,14,4,10,0.2857142857142857
B000AMRIIK,14,4,10,0.2857142857142857
B005FH2SOO,14,4,10,0.2857142857142857
B012V77VHE,14,4,10,0.2857142857142857
B011KJ084M,14,3,11,0.21428571428571427
B07FFG6TGS,14,3,11,0.21428571428571427
B07PFH92HN,14,3,11,0.21428571428571427
B08QKXY1KN,14,3,11,0.21428571428571427
B09GYQ81R5,14,3,11,0.21428571428571427
B09WSVFSGJ,14,3,11,0.21428571428571427
B00YVCWUCE,14,1,13,0.07142857142857142
B0186AH6VG,13,13,0,1.0
B07FXGD735,13,10,3,0.7692307692307693
B00MFWM1YO,13,9,4,0.6923076923076923
B000FEGUIW,13,8,5,0.6153846153846154
B08NJ5T4VY,13,8,5,0.6153846153846154
B001DYFIPY,13,7,6,0.5384615384615384
B07P6TN5RF,13,7,6,0.5384615384615384
B08SWV1X6D,13,7,6,0.5384615384615384
B00P0BLZFI,13,6,7,0.46153846153846156
B01L2SQC50,13,6,7,0.46153846153846156
B01LYJX8SH,13,6,7,0.46153846153846156
B078JRS4LJ,13,6,7,0.46153846153846156
B07L8K15KD,13,6,7,0.46153846153846156
B085KXJGHJ,13,6,7,0.46153846153846156
B001FYT87G,13,5,8,0.38461538461538464
B00K0R0B3E,13,5,8,0.38461538461538464
B018C0AXU6,13,5,8,0.38461538461538464
B01CRSWZAU,13,5,8,0.38461538461538464
B07PPLGRM2,13,5,8,0.38461538461538464
B001LBFC6E,13,4,9,0.3076923076923077
B014BVW62S,13,4,9,0.3076923076923077
B01M1IEADO,13,4,9,0.3076923076923077
B06XD9QCPV,13,4,9,0.3076923076923077
B06XRZ6Q4Z,13,4,9,0.3076923076923077
B07CSL21J8,13,4,9,0.3076923076923077
B0B1LZ7ZSK,13,4,9,0.3076923076923077
B0019WZHXI,13,3,10,0.23076923076923078
B00Z5VI9MK,13,3,10,0.23076923076923078
B017BGJLBE,13,3,10,0.23076923076923078
