label_name,ngram,count,ngram_size,rank,note
fake,br,6272,1,1,
fake,hair,4501,1,2,
fake,product,3829,1,3,
fake,great,3518,1,4,
fake,like,3467,1,5,
fake,love,3128,1,6,
fake,use,3068,1,7,
fake,good,2473,1,8,
fake,just,2321,1,9,
fake,skin,2310,1,10,
fake,really,1860,1,11,
fake,used,1622,1,12,
fake,time,1455,1,13,
fake,using,1439,1,14,
fake,nice,1410,1,15,
fake,works,1337,1,16,
fake,don,1328,1,17,
fake,ve,1325,1,18,
fake,little,1222,1,19,
fake,easy,1174,1,20,
fake,does,1158,1,21,
fake,work,1127,1,22,
fake,price,1098,1,23,
fake,did,1098,1,24,
fake,quality,1079,1,25,
fake,long,1057,1,26,
fake,color,1049,1,27,
fake,face,1028,1,28,
fake,brush,1005,1,29,
fake,look,1003,1,30,
real,hair,7647,1,1,
real,product,5026,1,2,
real,great,4891,1,3,
real,like,4695,1,4,
real,love,4533,1,5,
real,use,4354,1,6,
real,br,3838,1,7,
real,good,3519,1,8,
real,just,3300,1,9,
real,really,2733,1,10,
real,used,2225,1,11,
real,time,2101,1,12,
real,skin,2101,1,13,
real,don,1947,1,14,
real,easy,1932,1,15,
real,nice,1820,1,16,
real,works,1814,1,17,
real,color,1787,1,18,
real,little,1774,1,19,
real,price,1693,1,20,
real,ve,1693,1,21,
real,work,1647,1,22,
real,does,1626,1,23,
real,buy,1583,1,24,
real,using,1565,1,25,
real,quality,1554,1,26,
real,long,1550,1,27,
real,bought,1506,1,28,
real,soft,1447,1,29,
real,doesn,1433,1,30,
fake,br br,2189,2,1,
fake,easy use,396,2,2,
fake,great product,364,2,3,
fake,works great,281,2,4,
fake,good quality,259,2,5,
fake,ve used,235,2,6,
fake,highly recommend,213,2,7,
fake,really like,187,2,8,
fake,love product,185,2,9,
fake,love love,172,2,10,
fake,waste money,167,2,11,
fake,great price,163,2,12,
fake,long time,154,2,13,
fake,sensitive skin,153,2,14,
fake,feel like,147,2,15,
fake,ve tried,144,2,16,
fake,good product,143,2,17,
fake,absolutely love,140,2,18,
fake,great quality,139,2,19,
fake,ve using,135,2,20,
fake,using product,120,2,21,
fake,just like,117,2,22,
fake,easy apply,115,2,23,
fake,definitely recommend,113,2,24,
fake,dry skin,108,2,25,
fake,really good,107,2,26,
fake,nail polish,106,2,27,
fake,doesn work,105,2,28,
fake,looks like,105,2,29,
fake,don know,102,2,30,
real,br br,1031,2,1,
real,easy use,603,2,2,
real,great product,454,2,3,
real,works great,429,2,4,
real,highly recommend,349,2,5,
real,good quality,335,2,6,
real,ve used,322,2,7,
real,love product,314,2,8,
real,waste money,292,2,9,
real,really like,269,2,10,
real,great price,236,2,11,
real,long time,235,2,12,
real,definitely recommend,200,2,13,
real,feel like,198,2,14,
real,ve tried,192,2,15,
real,look like,191,2,16,
real,hair soft,189,2,17,
real,absolutely love,187,2,18,
real,good product,182,2,19,
real,love love,182,2,20,
real,sensitive skin,182,2,21,
real,looks like,178,2,22,
real,great quality,177,2,23,
real,long hair,173,2,24,
real,year old,170,2,25,
real,worth money,168,2,26,
real,love hair,160,2,27,
real,really good,158,2,28,
real,recommend product,157,2,29,
real,don know,156,2,30,
fake,goes long way,80,3,1,
fake,love love love,74,3,2,
fake,little goes long,60,3,3,
fake,br br received,49,3,4,
fake,br br overall,47,3,5,
fake,don waste money,46,3,6,
fake,br br update,38,3,7,
fake,br br love,36,3,8,
fake,br received product,35,3,9,
fake,use br br,35,3,10,
fake,honest unbiased review,32,3,11,
fake,br br ve,32,3,12,
fake,br br like,31,3,13,
fake,br br did,30,3,14,
fake,br br use,29,3,15,
fake,received product discount,29,3,16,
fake,product br br,29,3,17,
fake,great product great,28,3,18,
fake,exchange honest unbiased,27,3,19,
fake,makes skin feel,27,3,20,
fake,hair br br,27,3,21,
fake,br br don,27,3,22,
fake,br br cons,27,3,23,
fake,discount exchange honest,25,3,24,
fake,super easy use,24,3,25,
fake,product great price,24,3,26,
fake,leaves skin feeling,24,3,27,
fake,br br great,24,3,28,
fake,exchange honest review,24,3,29,
fake,does great job,23,3,30,
real,goes long way,103,3,1,
real,don waste money,83,3,2,
real,little goes long,77,3,3,
real,love love love,75,3,4,
real,highly recommend product,51,3,5,
real,lasts long time,41,3,6,
real,product easy use,38,3,7,
real,does great job,37,3,8,
real,super easy use,29,3,9,
real,does good job,28,3,10,
real,br br update,27,3,11,
real,just make sure,27,3,12,
real,definitely worth money,26,3,13,
real,makes skin feel,26,3,14,
real,really like product,26,3,15,
real,look like picture,26,3,16,
real,product works great,25,3,17,
real,just right size,24,3,18,
real,makes hair soft,24,3,19,
real,works like charm,23,3,20,
real,doesn look like,23,3,21,
real,just like picture,23,3,22,
real,br br overall,22,3,23,
real,product great price,22,3,24,
real,leaves hair soft,21,3,25,
real,hair super soft,21,3,26,
real,looks just like,21,3,27,
real,leaves skin feeling,21,3,28,
real,year old daughter,20,3,29,
real,great product great,20,3,30,
