user_id,active_days,max_daily_reviews,mean_daily_reviews,burst_fake_count,max_weekly_reviews,total_reviews,total_fake_count,fake_rate
AFDYIK3FNPY2JFBQYUWC6GSBMIRQ_2,9,2,1.1111111111111112,10,2,10,10,1.0
AGROTY3KEQXC7OWGNLDMPTDPJXHA,5,2,1.2,6,2,6,6,1.0
AFGGRGHGHSFKMZASFBYFRHBBEOPA,4,2,1.25,5,2,5,5,1.0
AFNRGRORFAGSB7WGANETBDDYDEAQ,4,2,1.25,5,2,5,5,1.0
AEJU3Z6HDAERETMYI2CXBQVPPDFA,3,2,1.3333333333333333,4,2,4,4,1.0
AEMP3A7IKW37CMWFXNKXWW6HGJHA_1,3,2,1.3333333333333333,4,2,4,4,1.0
AFSJ6CSPJIJLJEZZ2ZBUVLE3SDXQ,2,2,1.5,2,2,3,2,0.6666666666666666
AE3VRWFW2PGAQYAIMZXS3DUHW7JQ,1,2,2.0,1,2,2,1,0.5
AE5EJCJI7SSI3PQVCOU74A7LDFPQ,1,2,2.0,1,2,2,1,0.5
AEESUQP2GMOKDU5VNQW7BS3MYDGA,1,2,2.0,1,2,2,1,0.5
AEGLESMOQYHVJGSXSDPYELM5DAUA,1,2,2.0,2,2,2,2,1.0
AEIFRT4RVDM6TQHVVRMANNQIML2A,1,2,2.0,1,2,2,1,0.5
AEKOKJJKOJHRHO3XTRNVB5SSKK2A,1,2,2.0,2,2,2,2,1.0
AEKXUCP65SKGEHHDUTMQACSLD7HA,1,2,2.0,0,2,2,0,0.0
AENECFISUNAMGY4SWWNDPS5UK4DA,1,2,2.0,0,2,2,0,0.0
AETFSI2OHLFISXK7PSST3AMSJ3YA,1,2,2.0,0,2,2,0,0.0
AEX6KENGSS5YPA3LQVCW2ZZDVETA,1,2,2.0,2,2,2,2,1.0
AF2UYIAK3Q24KOJOZZZB3VWNBFKQ,1,2,2.0,2,2,2,2,1.0
AF3W2AEHF44IBDCDGWGPM3PW66DQ,1,2,2.0,0,2,2,0,0.0
AF5BUNHBLZI7VLI3MRTIEE5F4OPQ,1,2,2.0,0,2,2,0,0.0
AFJC3B6LMFYPWMLCO2OMDKHDDBKQ,1,2,2.0,1,2,2,1,0.5
AFQLYGRUQYCVQ3VZ7GB763NOM5XA,1,2,2.0,0,2,2,0,0.0
AFSPFOLJ2BGUI3CJJHCOKOC7OP5Q,1,2,2.0,0,2,2,0,0.0
AFT6GGHMLZIRVNEREWFLF2BKYZ4A,1,2,2.0,0,2,2,0,0.0
AFTQWSSNL6YDQGIX7HJHO64MRKJQ,1,2,2.0,1,2,2,1,0.5
AGKCQKSPYMUFXI23G6JS4ZA2RP2Q,1,2,2.0,1,2,2,1,0.5
