epoch,train_loss,generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
1,0.37114262144140026,2026-06-09T17:26:21.327880+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8892873849992203,0.8830680029609291,0.9142857142857143,0.8048780487804879,0.8561005269558167,3789,2624,0.9411333513572665,0.9337027347849376,0.08404663741601515,3591,198,512,2112
2,0.2773676485513432,2026-06-09T17:26:26.360332+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.891782317168252,0.8855808288034815,0.9202961672473867,0.8052591463414634,0.8589430894308943,3789,2624,0.9468295981950319,0.9412817732155803,0.08103185990886466,3606,183,511,2113
3,0.25270621421488676,2026-06-09T17:26:30.880102+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8958365819429285,0.8898335526092462,0.9267015706806283,0.8094512195121951,0.8641171684296176,3789,2624,0.9500032487334968,0.9446421725124554,0.07764870758515392,3621,168,500,2124
4,0.235586878893684,2026-06-09T17:26:36.615081+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8994230469359115,0.8944800417856876,0.9121199500208247,0.8346036585365854,0.8716417910447761,3789,2624,0.9507677069050975,0.9455152197862723,0.07693606380010234,3578,211,434,2190
5,0.21962131201450039,2026-06-09T17:26:41.595308+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.895680648682364,0.8904758774502253,0.9088247595148473,0.828125,0.8666001994017947,3789,2624,0.9509394975184907,0.9449120575407375,0.07694424550914371,3571,218,451,2173
6,0.2037205401349505,2026-06-09T17:26:46.071652+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8927179167316388,0.8881719601609135,0.8878205128205128,0.8445121951219512,0.865625,3789,2624,0.9503714217664743,0.9447914399814448,0.07992226772448155,3509,280,408,2216
7,0.19229013076724286,2026-06-09T17:26:51.805256+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8933416497738967,0.8871251229750419,0.9246935201401051,0.8048780487804879,0.8606356968215159,3789,2624,0.9485589704471867,0.9419970900544637,0.08266122557802567,3617,172,512,2112
8,0.180684886521939,2026-06-09T17:26:56.732418+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8949009823795415,0.8896336532276465,0.9082914572864321,0.8266006097560976,0.8655227454110136,3789,2624,0.9475239521174902,0.9413377894846692,0.08127065164421184,3570,219,455,2169
9,0.1627465738745188,2026-06-09T17:27:01.232640+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8895992515203492,0.8851736687299172,0.8786561264822135,0.8471798780487805,0.8626309662398137,3789,2624,0.9481441785914296,0.942583056337265,0.08360198657101547,3482,307,401,2223
10,0.15462150492469517,2026-06-09T17:27:07.071016+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8924060502105099,0.8866680223909649,0.9121909633418585,0.8155487804878049,0.8611670020120724,3789,2624,0.9473361692865742,0.9417584611456705,0.08178624069660269,3583,206,484,2140
