generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_type
2026-06-09T19:33:30.398928+00:00,42,train,phase5_stack_logistic,0.5,default_0.5,0.9999665808909535,0.999965442932855,0.9999183473503716,1.0,0.999959172008329,17677,12246,1.0,1.0,4.4304810560410995e-05,17676,1,0,12246,stacking_calibration
2026-06-09T19:33:30.428467+00:00,42,val,phase5_stack_logistic,0.5,default_0.5,0.91330110712615,0.9075691307792171,0.9717153284671532,0.8117378048780488,0.8845514950166113,3789,2624,0.9724195098616663,0.9706994133106893,0.07792228294919346,3727,62,494,2130,stacking_calibration
2026-06-09T19:33:30.443138+00:00,42,test,phase5_stack_logistic,0.5,default_0.5,0.9159519725557461,0.9104912064119717,0.9727891156462585,0.817454268292683,0.8883826879271071,3789,2624,0.9731240223625514,0.971522871188882,0.07471708905656851,3729,60,479,2145,stacking_calibration
2026-06-09T19:33:30.464167+00:00,42,train,phase5_stack_random_forest,0.5,default_0.5,1.0,1.0,1.0,1.0,1.0,17677,12246,1.0,1.0,3.1533452638332512e-06,17677,0,0,12246,stacking_calibration
2026-06-09T19:33:30.485249+00:00,42,val,phase5_stack_random_forest,0.5,default_0.5,0.9083112427880867,0.9020367635826672,0.9699907663896583,0.8006859756097561,0.8772442588726513,3789,2624,0.9644397453475723,0.9530468760793489,0.08714226412308335,3724,65,523,2101,stacking_calibration
2026-06-09T19:33:30.496317+00:00,42,test,phase5_stack_random_forest,0.5,default_0.5,0.9111180414782473,0.905162966491387,0.9706691109074244,0.8071646341463414,0.8813982521847691,3789,2624,0.9664062349130024,0.9548521478020312,0.08408865701027489,3725,64,506,2118,stacking_calibration
2026-06-09T19:33:30.508548+00:00,42,train,phase5_stack_extra_trees,0.5,default_0.5,1.0,1.0,1.0,1.0,1.0,17677,12246,1.0,1.0,1.1846021129554542e-05,17677,0,0,12246,stacking_calibration
2026-06-09T19:33:30.525463+00:00,42,val,phase5_stack_extra_trees,0.5,default_0.5,0.9090909090909091,0.9029594950688493,0.9687643546164446,0.803734756097561,0.8785669652155801,3789,2624,0.966354939120947,0.95719664224346,0.08110398317491493,3721,68,515,2109,stacking_calibration
2026-06-09T19:33:30.534779+00:00,42,test,phase5_stack_extra_trees,0.5,default_0.5,0.9114299079993763,0.9055585711586338,0.9694063926940639,0.8090701219512195,0.8820108018280016,3789,2624,0.9667408142311827,0.9556371572649331,0.07852964699205098,3722,67,501,2123,stacking_calibration
2026-06-09T19:33:30.545892+00:00,42,train,phase5_stack_logistic_sigmoid_calibrated,0.5,default_0.5,0.9999665808909535,0.999965442932855,0.9999183473503716,1.0,0.999959172008329,17677,12246,1.0,0.9999999999999999,3.399730997059926e-05,17676,1,0,12246,stacking_calibration
2026-06-09T19:33:30.565288+00:00,42,val,phase5_stack_logistic_sigmoid_calibrated,0.5,default_0.5,0.9131451738655856,0.907349071827067,0.9729977116704805,0.8102134146341463,0.8841755042628405,3789,2624,0.9726275092694514,0.9709217115491752,0.08015516995459752,3730,59,498,2126,stacking_calibration
2026-06-09T19:33:30.576997+00:00,42,test,phase5_stack_logistic_sigmoid_calibrated,0.5,default_0.5,0.9157960392951816,0.9102882861374209,0.9736363636363636,0.8163109756097561,0.8880597014925373,3789,2624,0.9732928458664041,0.9717739358647903,0.07679876398431534,3731,58,482,2142,stacking_calibration
