generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,target_precision_fake,target_met,candidate_name,candidate_type,selection_rule,is_selected_threshold
2026-06-01T08:39:12.947316+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.01,threshold_sweep,0.4091971940763835,0.2903761061946903,0.4091971940763835,1.0,0.5807522123893806,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,0,1516,0,1050,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:12.955172+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.02,threshold_sweep,0.4091971940763835,0.2903761061946903,0.4091971940763835,1.0,0.5807522123893806,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,0,1516,0,1050,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:12.963457+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.03,threshold_sweep,0.4091971940763835,0.29091886114094434,0.4091263650546022,0.9990476190476191,0.5805201992252352,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,1,1515,1,1049,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:12.971884+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.04,threshold_sweep,0.4130943102104443,0.2982644356764735,0.4107282693813626,0.9990476190476191,0.5821309655937846,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,11,1505,1,1049,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:12.979881+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.05,threshold_sweep,0.4201091192517537,0.311284577294625,0.4136435331230284,0.9990476190476191,0.5850529838259899,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,29,1487,1,1049,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:12.987992+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.06,threshold_sweep,0.4372564302416212,0.3420723110632873,0.4209470304975923,0.9990476190476191,0.5923207227555054,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,73,1443,1,1049,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:12.996274+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.07,threshold_sweep,0.4618082618862042,0.3849659484593715,0.4316962443252167,0.9961904761904762,0.6023610711200691,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,139,1377,4,1046,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.004582+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.08,threshold_sweep,0.4886983632112237,0.42830593669338407,0.4442553191489362,0.9942857142857143,0.6141176470588235,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,210,1306,6,1044,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.012550+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.09,threshold_sweep,0.5183164458300857,0.47358441335986345,0.4589222614840989,0.9895238095238095,0.6270368135184068,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,291,1225,11,1039,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.020757+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.1,threshold_sweep,0.5498830865159782,0.5187145975761078,0.47579529737206083,0.9828571428571429,0.641192917054986,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,379,1137,18,1032,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.029113+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.11,threshold_sweep,0.5857365549493375,0.5661659931694386,0.49684619116933526,0.9752380952380952,0.658309225329476,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,479,1037,26,1024,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.037670+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.12,threshold_sweep,0.6149649259547935,0.6020651360433169,0.5156723963599595,0.9714285714285714,0.6737120211360634,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,558,958,30,1020,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.045719+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.13,threshold_sweep,0.6434138737334373,0.6360498647446471,0.5358851674641149,0.96,0.6878198567041965,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,643,873,42,1008,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.053771+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.14,threshold_sweep,0.6745908028059237,0.6709748702202627,0.5602240896358543,0.9523809523809523,0.7054673721340388,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,731,785,50,1000,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.061881+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.15,threshold_sweep,0.6975837879968823,0.695881109896736,0.5802107728337237,0.9438095238095238,0.7186366932559826,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,799,717,59,991,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
2026-06-01T08:39:13.070119+00:00,42,val_calibration,blend_dl00_xgb05_lgbm05,0.16,threshold_sweep,0.7194076383476228,0.7188330365703328,0.6011029411764706,0.9342857142857143,0.7315436241610739,1516,1050,0.9146337479582862,0.9082632183365567,0.10484478419961625,865,651,69,981,0.975,False,blend_dl00_xgb05_lgbm05,weighted_blend,,False
