seed,split,row_index
42,test,4
42,test,21
42,test,25
42,test,30
42,test,31
42,test,33
42,test,46
42,test,49
42,test,51
42,test,53
42,test,54
42,test,56
42,test,58
42,test,65
42,test,75
42,test,78
42,test,85
42,test,87
42,test,88
42,test,89
42,test,91
42,test,97
42,test,101
42,test,109
42,test,118
42,test,123
42,test,125
42,test,130
42,test,136
42,test,145
42,test,151
42,test,165
42,test,171
42,test,182
42,test,198
42,test,199
42,test,203
42,test,207
42,test,210
42,test,218
42,test,223
42,test,226
42,test,228
42,test,234
42,test,237
42,test,239
42,test,243
42,test,251
42,test,254
42,test,258
42,test,260
42,test,276
42,test,281
42,test,285
42,test,286
42,test,292
42,test,293
42,test,298
42,test,299
42,test,309
42,test,317
42,test,318
42,test,320
42,test,323
42,test,325
42,test,330
42,test,331
42,test,338
42,test,342
42,test,353
42,test,359
42,test,374
42,test,380
42,test,394
42,test,400
42,test,408
42,test,409
42,test,411
42,test,422
42,test,429
42,test,438
42,test,440
42,test,446
42,test,451
42,test,455
42,test,462
42,test,463
42,test,465
42,test,466
42,test,471
42,test,481
42,test,497
42,test,499
42,test,500
42,test,507
42,test,511
42,test,514
42,test,522
42,test,526
42,test,535
42,test,536
42,test,540
42,test,542
42,test,547
42,test,548
42,test,555
42,test,561
42,test,565
42,test,566
42,test,578
42,test,590
42,test,601
42,test,605
42,test,614
42,test,625
42,test,627
42,test,631
42,test,634
42,test,636
42,test,637
42,test,663
42,test,672
42,test,677
42,test,680
42,test,695
42,test,702
42,test,707
42,test,711
42,test,715
42,test,719
42,test,721
42,test,731
42,test,734
42,test,745
42,test,749
42,test,750
42,test,751
42,test,759
42,test,760
42,test,764
42,test,774
42,test,775
42,test,783
42,test,790
42,test,795
42,test,801
42,test,806
42,test,811
42,test,821
42,test,828
42,test,832
42,test,835
42,test,837
42,test,840
42,test,846
42,test,854
42,test,862
42,test,863
42,test,882
42,test,897
42,test,899
42,test,907
42,test,911
42,test,919
42,test,923
42,test,932
42,test,937
42,test,940
42,test,945
42,test,949
42,test,953
42,test,955
42,test,964
42,test,968
42,test,974
42,test,982
42,test,1010
42,test,1013
42,test,1026
42,test,1031
42,test,1033
42,test,1046
42,test,1097
42,test,1099
42,test,1120
42,test,1122
42,test,1123
42,test,1127
42,test,1128
42,test,1133
42,test,1140
42,test,1146
42,test,1153
42,test,1162
42,test,1167
42,test,1171
42,test,1183
42,test,1187
42,test,1194
42,test,1207
42,test,1219
42,test,1228
42,test,1234
42,test,1240
42,test,1248
42,test,1251
42,test,1266
42,test,1271
42,test,1278
42,test,1282
42,test,1295
42,test,1301
42,test,1302
42,test,1309
42,test,1319
42,test,1324
42,test,1330
42,test,1332
42,test,1333
42,test,1346
42,test,1352
42,test,1368
42,test,1369
42,test,1374
42,test,1378
42,test,1381
42,test,1386
42,test,1388
42,test,1405
42,test,1424
42,test,1432
42,test,1433
42,test,1438
42,test,1443
42,test,1455
42,test,1468
42,test,1480
42,test,1489
42,test,1493
42,test,1495
42,test,1497
42,test,1505
42,test,1506
42,test,1511
42,test,1516
42,test,1525
42,test,1528
42,test,1531
42,test,1533
42,test,1541
42,test,1570
42,test,1574
42,test,1582
42,test,1598
42,test,1599
42,test,1602
42,test,1620
42,test,1626
42,test,1638
42,test,1640
42,test,1644
42,test,1655
42,test,1662
42,test,1677
42,test,1679
42,test,1682
42,test,1691
42,test,1697
42,test,1700
42,test,1707
42,test,1710
42,test,1712
42,test,1715
42,test,1717
42,test,1737
42,test,1739
42,test,1740
