seed,split,row_index
42,test,0
42,test,7
42,test,9
42,test,30
42,test,89
42,test,96
42,test,115
42,test,117
42,test,120
42,test,130
42,test,132
42,test,136
42,test,137
42,test,187
42,test,190
42,test,211
42,test,239
42,test,246
42,test,259
42,test,311
42,test,325
42,test,327
42,test,329
42,test,348
42,test,354
42,test,365
42,test,370
42,test,402
42,test,406
42,test,414
42,test,420
42,test,425
42,test,437
42,test,443
42,test,464
42,test,484
42,test,486
42,test,504
42,test,506
42,test,522
42,test,526
42,test,539
42,test,546
42,test,574
42,test,614
42,test,616
42,test,633
42,test,663
42,test,690
42,test,695
42,test,718
42,test,740
42,test,743
42,test,745
42,test,765
42,test,766
42,test,769
42,test,785
42,test,796
42,test,805
42,test,806
42,test,816
42,test,817
42,test,840
42,test,842
42,test,846
42,test,852
42,test,873
42,test,876
42,test,879
42,test,890
42,test,907
42,test,919
42,test,937
42,test,942
42,test,950
42,test,955
42,test,976
42,test,984
42,test,989
42,test,999
42,test,1026
42,test,1037
42,test,1041
42,test,1044
42,test,1050
42,test,1060
42,test,1067
42,test,1089
42,test,1143
42,test,1150
42,test,1169
42,test,1179
42,test,1183
42,test,1212
42,test,1226
42,test,1253
42,test,1261
42,test,1277
42,test,1290
42,test,1291
42,test,1293
42,test,1312
42,test,1324
42,test,1329
42,test,1331
42,test,1333
42,test,1336
42,test,1350
42,test,1379
42,test,1384
42,test,1411
42,test,1427
42,test,1438
42,test,1450
42,test,1458
42,test,1481
42,test,1499
42,test,1510
42,test,1546
42,test,1556
42,test,1569
42,test,1590
42,test,1592
42,test,1610
42,test,1615
42,test,1619
42,test,1621
42,test,1624
42,test,1625
42,test,1629
42,test,1637
42,test,1646
42,test,1649
42,test,1672
42,test,1673
42,test,1690
42,test,1706
42,test,1717
42,test,1731
42,test,1739
42,test,1752
42,test,1772
42,test,1785
42,test,1816
42,test,1827
42,test,1852
42,test,1898
42,test,1902
42,test,1979
42,test,2016
42,test,2036
42,test,2049
42,test,2070
42,test,2080
42,test,2085
42,test,2103
42,test,2125
42,test,2128
42,test,2154
42,test,2179
42,test,2183
42,test,2210
42,test,2211
42,test,2218
42,test,2219
42,test,2225
42,test,2239
42,test,2250
42,test,2262
42,test,2267
42,test,2268
42,test,2272
42,test,2300
42,test,2364
42,test,2374
42,test,2385
42,test,2394
42,test,2403
42,test,2424
42,test,2441
42,test,2473
42,test,2483
42,test,2484
42,test,2498
42,test,2499
42,test,2502
42,test,2506
42,test,2510
42,test,2538
42,test,2562
42,test,2573
42,test,2585
42,test,2587
42,test,2589
42,test,2594
42,test,2597
42,test,2604
42,test,2614
42,test,2627
42,test,2633
42,test,2652
42,test,2655
42,test,2656
42,test,2657
42,test,2661
42,test,2672
42,test,2674
42,test,2679
42,test,2689
42,test,2698
42,test,2702
42,test,2710
42,test,2712
42,test,2717
42,test,2735
42,test,2747
42,test,2756
42,test,2767
42,test,2774
42,test,2796
42,test,2822
42,test,2839
42,test,2850
42,test,2855
42,test,2866
42,test,2889
42,test,2892
42,test,2896
42,test,2918
42,test,2954
42,test,2966
42,test,2978
42,test,3000
42,test,3040
42,test,3055
42,test,3068
42,test,3070
42,test,3089
42,test,3113
42,test,3114
42,test,3118
42,test,3132
42,test,3140
42,test,3141
42,test,3146
42,test,3162
42,test,3169
42,test,3181
42,test,3196
42,test,3198
42,test,3215
42,test,3225
42,test,3236
42,test,3254
42,test,3265
42,test,3281
42,test,3289
42,test,3303
42,test,3344
42,test,3351
42,test,3366
42,test,3369
42,test,3371
42,test,3382
42,test,3385
42,test,3412
42,test,3416
42,test,3421
42,test,3435
42,test,3508
42,test,3515
42,test,3532
42,test,3549
42,test,3550
42,test,3551
42,test,3559
42,test,3599
42,test,3611
42,test,3625
42,test,3632
42,test,3639
42,test,3656
42,test,3674
42,test,3699
42,test,3709
42,test,3712
42,test,3720
42,test,3746
42,test,3748
42,test,3775
42,test,3781
42,test,3785
42,test,3788
42,test,3866
42,test,3880
42,test,3883
42,test,3904
42,test,3906
42,test,3912
42,test,3926
42,test,3942
42,test,3953
42,test,3954
42,test,3966
