generated_at_utc,seed,split,model_variant,ablation_variant,removed_component,evidence_type,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,probability_path,notes
2026-06-11T12:17:42.397787+00:00,42,train,dl_baseline,,,direct_artifact,0.5,default_0.5,0.5318985395849347,0.5003771333077314,0.41334514319456744,0.34296913277804997,0.37488284910965325,17677,12246,0.502614421647989,0.41117055336389713,0.2715710604699494,11716,5961,8046,4200,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_baseline_train_prob.npy,
2026-06-11T12:17:42.411167+00:00,42,val,dl_baseline,,,direct_artifact,0.5,default_0.5,0.7879307656323093,0.7737221656636603,0.7896425297891843,0.6566310975609756,0.7170203911776946,3789,2624,0.8383482010666305,0.8298848206856181,0.18105204581252923,3330,459,901,1723,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_baseline_val_prob.npy,
2026-06-11T12:17:42.422242+00:00,42,test,dl_baseline,,,direct_artifact,0.5,default_0.5,0.7813815686886013,0.76646035442857,0.7818265682656826,0.6459603658536586,0.7074290484140233,3789,2624,0.8389368957154535,0.8241626956851462,0.18199955262497391,3316,473,929,1695,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_baseline_test_prob.npy,
2026-06-11T12:17:42.444921+00:00,42,train,dl_pso,,,direct_artifact,0.5,default_0.5,0.5305617752230726,0.5020346859594997,0.41436043747028056,0.3557896455985628,0.3828478537849831,17677,12246,0.5029387745629189,0.41200063448550284,0.2809473221909099,11519,6158,7889,4357,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_pso_train_prob.npy,
2026-06-11T12:17:42.457670+00:00,42,val,dl_pso,,,direct_artifact,0.5,default_0.5,0.8027444253859348,0.7905399046456305,0.8032128514056225,0.6859756097560976,0.7399794450154162,3789,2624,0.8553079980398972,0.8449196078390688,0.16382435986392196,3348,441,824,1800,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_pso_val_prob.npy,
2026-06-11T12:17:42.470714+00:00,42,test,dl_pso,,,direct_artifact,0.5,default_0.5,0.7915172306252923,0.77934882410512,0.7818659658344284,0.6802591463414634,0.7275320970042796,3789,2624,0.8516683604336044,0.8360694454774419,0.16625853963351123,3291,498,839,1785,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_pso_test_prob.npy,
2026-06-11T12:17:42.506457+00:00,42,train,xgboost,,,direct_artifact,0.5,default_0.5,0.8944958727400327,0.8872940997529322,0.9493720953228518,0.7840111056671566,0.8588040610045172,17677,12246,0.9583847913607444,0.9507328518670032,0.08326030163042218,17165,512,2645,9601,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/xgboost_train_prob.npy,
2026-06-11T12:17:42.523386+00:00,42,val,xgboost,,,direct_artifact,0.5,default_0.5,0.8644939965694682,0.8543555309136949,0.9184549356223176,0.7339939024390244,0.8159288286380004,3789,2624,0.9114651727722741,0.9038762567016758,0.10685063059460034,3618,171,698,1926,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/xgboost_val_prob.npy,
2026-06-11T12:17:42.534002+00:00,42,test,xgboost,,,direct_artifact,0.5,default_0.5,0.8579447996257602,0.847504358095617,0.9057318806252961,0.7286585365853658,0.8076029567053854,3789,2624,0.9059604302248486,0.8961178715442786,0.10999384934142811,3590,199,712,1912,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/xgboost_test_prob.npy,
2026-06-11T12:17:42.556102+00:00,42,train,lightgbm,,,direct_artifact,0.5,default_0.5,0.9309227016007753,0.9269669722913851,0.975077009241109,0.8530132288094071,0.9099699464262381,17677,12246,0.9879974292536373,0.9836214992281503,0.05626262087503007,17410,267,1800,10446,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/lightgbm_train_prob.npy,
